Line	logopath	ArticleFamily	ArticleReference	OptionReference	Pcs	Sale	News	InWebshop	Weight	RetailUnitPrice	ResellerUnitPrice	ResellerUnitDiscountPrice	DiscountQty	Thickness	LengthDiameter	Ballsize1	Ballsize2	SizeIn	Type	Type(de)	Type(fr)	Type(it)	Type(ch)	Type(pl)	Type(es)	Description	Description(de)	Description(fr)	Description(es)	Description(it)	Description(pl)	Description(ch)	BodyParts
STERLING SILVER	JCE6-LR	JCE6-LR	JCE6-LR	S-LR	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPHERE	Crystal Evolution Sphere	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE6-LP	JCE6-LP	JCE6-LP	S-LP	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPHERE	Crystal Evolution Sphere	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE6-DB	JCE6-DB	JCE6-DB	S-DB	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPHERE	Crystal Evolution Sphere	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE6-TA	JCE6-TA	JCE6-TA	S-TA	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPHERE	Crystal Evolution Sphere	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE6-BK	JCE6-BK	JCE6-BK	S-BK	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPHERE	Crystal Evolution Sphere	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE7-CC	JCE7-CC	JCE7-CC	S-CC	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FLAMECROSS	Crystal Evolution Flammendes Kreuz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE7-BK	JCE7-BK	JCE7-BK	S-BK	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FLAMECROSS	Crystal Evolution Flammendes Kreuz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE7-LR	JCE7-LR	JCE7-LR	S-LR	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FLAMECROSS	Crystal Evolution Flammendes Kreuz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE8-CC	JCE8-CC	JCE8-CC	S-CC	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SKULL	Crystal Evolution Totenkopf	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE8-AQ	JCE8-AQ	JCE8-AQ	S-AQ	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SKULL	Crystal Evolution Totenkopf	Crystal Evolution	Crystal Evolution				
STERLING SILVER		JCE8-LB	JCE8-LB	S-LB	1				28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SKULL	Crystal Evolution Totenkopf	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE8-LP	JCE8-LP	JCE8-LP	S-LP	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SKULL	Crystal Evolution Totenkopf	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE8-BK	JCE8-BK	JCE8-BK	S-BK	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SKULL	Crystal Evolution Totenkopf	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE9-CC	JCE9-CC	JCE9-CC	S-CC	1		YES	YES	28	65	23	21	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI				
STERLING SILVER	JCE9-LB	JCE9-LB	JCE9-LB	S-LB	1		YES	YES	28	65	23	21	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI				
STERLING SILVER	JCE9-LR	JCE9-LR	JCE9-LR	S-LR	1		YES	YES	28	65	23	21	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI				
STERLING SILVER		JCE9-AB	JCE9-AB	S-AB	1				28	65	23	21	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI	Crystal Evolution KOI				
STERLING SILVER	JCE10-CC	JCE10-CC	JCE10-CC	S-CC	1		YES	YES	28	75	25	23	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution GECKO	Crystal Evolution GECKO	Crystal Evolution GECKO	Crystal Evolution GECKO				
STERLING SILVER	JCE10-LR	JCE10-LR	JCE10-LR	S-LR	1		YES	YES	28	75	25	23	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution GECKO	Crystal Evolution GECKO	Crystal Evolution GECKO	Crystal Evolution GECKO				
STERLING SILVER	JCE10-LB	JCE10-LB	JCE10-LB	S-LB	1		YES	YES	28	75	25	23	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution GECKO	Crystal Evolution GECKO	Crystal Evolution GECKO	Crystal Evolution GECKO				
STERLING SILVER	JCE11-CC	JCE11-CC	JCE11-CC	S-CC	1		YES	YES	28	75	25	23	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SNAKE	Crystal Evolution Schlange	Crystal Evolution	Crystal Evolution				
STERLING SILVER		JCE12-CC	JCE12-CC	S-CC	1				28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FAIRY	Crystal Evolution Engel	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE12-LP	JCE12-LP	JCE12-LP	S-LP	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FAIRY	Crystal Evolution Engel	Crystal Evolution	Crystal Evolution				
STERLING SILVER		JCE12-LR	JCE12-LR	S-LR	1				28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FAIRY	Crystal Evolution Engel	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE12-LB	JCE12-LB	JCE12-LB	S-LB	1		YES	YES	28	55	19	17	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FAIRY	Crystal Evolution Engel	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE13-LP	JCE13-LP	JCE13-LP	S-LP	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution TURTLE	Crystal Evolution Schildkröte	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE13-LB	JCE13-LB	JCE13-LB	S-LB	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution TURTLE	Crystal Evolution Schildkröte	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE14-CC	JCE14-CC	JCE14-CC	S-CC	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution MOON	Crystal Evolution Mond	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE14-LP	JCE14-LP	JCE14-LP	S-LP	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution MOON	Crystal Evolution Mond	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE15-CC	JCE15-CC	JCE15-CC	S-CC	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS				
STERLING SILVER	JCE15-LP	JCE15-LP	JCE15-LP	S-LP	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS				
STERLING SILVER	JCE15-BZ	JCE15-BZ	JCE15-BZ	S-BZ	1		YES	YES	28	59	21	19	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS	Crystal Evolution FLEUR DE LIS				
STERLING SILVER	JCE16-CC	JCE16-CC	JCE16-CC	S-CC	1		YES	YES	28	52	18	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution ROBOT	Crystal Evolution Roboter	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE16-AQ	JCE16-AQ	JCE16-AQ	S-AQ	1		YES	YES	28	52	18	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution ROBOT	Crystal Evolution Roboter	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE16-PU	JCE16-PU	JCE16-PU	S-PU	1		YES	YES	28	52	18	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution ROBOT	Crystal Evolution Roboter	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE16-LR	JCE16-LR	JCE16-LR	S-LR	1		YES	YES	28	52	18	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution ROBOT	Crystal Evolution Roboter	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE17-CC	JCE17-CC	JCE17-CC	S-CC	1		YES	YES	28	69	25	23	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution YIN YANG	Crystal Evolution YIN YANG	Crystal Evolution YIN YANG	Crystal Evolution YIN YANG				
STERLING SILVER	JCE18	JCE18	JCE18	-	1		YES	YES	28	49	17	16	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPADES	Crystal Evolution PIK	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE19	JCE19	JCE19	-	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SPADES	Crystal Evolution PIK	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE20	JCE20	JCE20	-	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution HEART	Crystal Evolution Herz	Crystal Evolution	Crystal Evolution				
STERLING SILVER	JCE21	JCE21	JCE21	-	1		YES	YES	28	69	24	22	3	1.6	10				Navel Bananas	Bauchnabelstecker	Bananes nombril	Banane per Ombelico	Bauchnabelstecker		Bananas de ombligo	Crystal Evolution SQUARE	Crystal Evolution Karo	Crystal Evolution	Crystal Evolution				
